metric_no,record_type,label,road_type,item,value,numerator,denominator,unit,status,detail,source_input
1,point,渋谷→新宿,,R2 oneway検出点,1,1,379,point,measured,point_id=P01; group=A; way_id=138533178; sample_idx=18; margin_m=4.062,verify_match_margin_points.csv
1,point,新宿→池袋,,R2 oneway検出点,1,1,379,point,measured,point_id=N01; group=B; way_id=228180934; sample_idx=22; margin_m=1.518,verify_match_margin_points.csv
1,point,品川→東京,,R2 oneway検出点,1,1,379,point,measured,point_id=P05; group=B; way_id=741785139; sample_idx=18; margin_m=5.018,verify_match_margin_points.csv
1,point,荻窪→阿佐ヶ谷,,R2 oneway検出点,1,1,379,point,measured,point_id=P07'; group=A; way_id=80835360; sample_idx=10; margin_m=1.598,verify_match_margin_points.csv
1,point,自由が丘→等々力,,R2 oneway検出点,1,1,379,point,measured,point_id=P08; group=A; way_id=350353685; sample_idx=2; margin_m=2.91,verify_match_margin_points.csv
1,point,立川→国分寺,,R2 oneway検出点,1,1,379,point,measured,point_id=P10; group=C; way_id=853388885; sample_idx=0; margin_m=3.984,verify_match_margin_points.csv
1,point,立川→国分寺,,R2 oneway検出点,1,1,379,point,measured,point_id=P11; group=B; way_id=1429406683; sample_idx=3; margin_m=2.222,verify_match_margin_points.csv
1,point,横浜→みなとみらい,,R2 oneway検出点,1,1,379,point,measured,point_id=P12; group=C; way_id=28413948; sample_idx=1; margin_m=3.696,verify_match_margin_points.csv
1,point,横浜→みなとみらい,,R2 oneway検出点,1,1,379,point,measured,point_id=P13; group=C; way_id=28413948; sample_idx=2; margin_m=4.19,verify_match_margin_points.csv
1,point,川崎→武蔵小杉,,R2 oneway検出点,1,1,379,point,measured,point_id=N02; group=B; way_id=992241606; sample_idx=5; margin_m=1.577,verify_match_margin_points.csv
1,point,千葉→幕張本郷,,R2 oneway検出点,1,1,379,point,measured,point_id=P17; group=A; way_id=142222817; sample_idx=76; margin_m=18.649,verify_match_margin_points.csv
1,point,千葉→幕張本郷,,R2 oneway検出点,1,1,379,point,measured,point_id=P18; group=C; way_id=151808609; sample_idx=96; margin_m=3.605,verify_match_margin_points.csv
1,summary,,,R2 oneway検出点,12,12,379,point,measured,40m間隔の379判定点,verify_match_margin_points.csv
1,group_summary,,,R2 oneway A群,4,4,12,point,measured,,検証記録_18点.md;検証記録_新規2点.md
